benchmark,qid,question,gold_answer,reference_date,manual_temporal_type,gold_fact_ids,conflict_fact_ids,annotation_source,adjudication_provenance,author_notes
locomo,conv-48_qa050,Which year did Jolene start practicing yoga?,2020,2023/09/20 (Wed) 10:17,historical-state,item_e90daf17dd99a0a3;item_dcb04c417a082cf9;item_3152fc9e45aad5f6;fact_a9dd832c9886236d;fact_756a07b372d6f2a6,item_143d9b60a2546add;item_747082faf304019a;item_e9d8d60e95227f3a;fact_8efd66659fcff64f;item_c93347b1d75fece6,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-48_qa052,When did Jolene lose a lot of progress in her work?,last week of July 2023,2023/09/20 (Wed) 10:17,historical-state,fact_93d73d6678a649b0;item_0c518202b8da6e32,,hybrid_author_adjudicated,author_accepted_independent,Both duplicate facts directly date the project setback.
locomo,conv-48_qa055,Which pet did Jolene adopt more recently - Susie or Seraphim?,Seraphim,2023/09/20 (Wed) 10:17,current-vs-old,item_297a4f8724b53855;item_8f0793dcd3d69d7e;fact_9f2410c4892794fd;item_0a84efd393b070d8;item_a1f65e3a606f4e79,item_e7dca52b1894dd6e;item_a682f7d0f8423e38;fact_4d4cb8f7a57d5636;fact_fc2e36b36bf7526d;fact_9e1250c7543ff0c2;fact_b05c983b53e88bfd,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-48_qa065,Which country was Jolene located in during the last week of August 2023?,Brazil,2023/09/20 (Wed) 10:17,historical-state,fact_6a18a39cee41db6c;fact_7bb225a520060b08;item_c1df0a96235d9219,,hybrid_author_adjudicated,author_custom,Rio de Janeiro facts directly locate Jolene in Brazil during the target week; later beach activity is not a conflict.
locomo,conv-48_qa071,When did Deborah go to a community meetup?,last week of August 2023,2023/09/20 (Wed) 10:17,historical-state,fact_470bcaabccd8c911;item_1567748661347925,,hybrid_author_adjudicated,author_accepted_independent,Both duplicate facts directly date the community meetup.
locomo,conv-49_qa023,When did Sam start working out at the gym?,"July 28, 2023",2024/01/11 (Thu) 21:37,historical-state,item_e6c8d3d9c9392b01;item_aa46c9c520b63c70;fact_f0c92b91a0c798fc;fact_a09ee77da278a46b,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-49_qa053,When did Evan and Sam decide to paint together?,"Saturday after 11 September, 2023.",2024/01/11 (Thu) 21:37,historical-state,fact_45f1ad7c38dd3df9;item_67f57b469a8009ce,,hybrid_author_adjudicated,author_custom,These facts directly date the joint painting plan; other planned activities are unrelated.
locomo,conv-49_qa066,When did Evan lose his job?,end of October 2023,2024/01/11 (Thu) 21:37,historical-state,item_08c4c5dbf2c471a9;fact_5d6192def49cae08,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-49_qa073,When is Evan planning a big family reunion?,Summer 2024,2024/01/11 (Thu) 21:37,historical-state,item_125801f941ed9671;item_e1a4465c03999bf3,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-49_qa079,When will Evan and his partner have their honeymoon in Canada?,February 2024,2024/01/11 (Thu) 21:37,historical-state,item_0ca4ad5669685c74,item_ea0c4f8e34dda4e0;fact_3e00161798f5aa01,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-50_qa000,When did Calvin first travel to Tokyo?,between 26 March and 20 April 2023,2023/11/17 (Fri) 10:54,ordering,fact_1aa34e8a403bb43c;fact_81c83e470409d2c8;item_06ebc10e23dffaa2;item_6704b5bad178e78b;item_6b435ac046473fc9;item_dcc5f6fcdd491b77,,hybrid_author_adjudicated,author_custom,"No-prior-visit, travel-plan, and April Tokyo-attendance facts jointly bound the first trip; later trips are not conflicts."
locomo,conv-50_qa012,When was Calvin's concert in Tokyo?,last week of May 2023,2023/11/17 (Fri) 10:54,historical-state,fact_8654745cf55b5b51;fact_9344cf356c0dba8e;item_59e2e61cee710cd7;item_753a93cc9c7453c3;item_76a1e436e07e4ada,,hybrid_author_adjudicated,author_custom,May performance and May 31 retrospective facts support the late-May concert; August and October concerts are separate.
locomo,conv-50_qa035,When did Calvin book flight tickets to Boston?,last week of August 2023,2023/11/17 (Fri) 10:54,historical-state,fact_1f55966869949de2;item_e1741b2cde4c4e29,,hybrid_author_adjudicated,author_custom,These duplicate facts directly date the Boston booking; general travel plans are context only.
locomo,conv-50_qa038,When did Dave have a great jam session with his band?,"September 14, 2023",2023/11/17 (Fri) 10:54,historical-state,item_800b9221ad8e12b5;item_845875128c8a3d79;item_c140c7dbc481df2b;fact_8d04f26000864cef;fact_2e55e9be183aed3f;item_c7ca78044d5b9a81,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-50_qa048,What was Dave doing in the first weekend of October 2023?,attending a car show,2023/11/17 (Fri) 10:54,historical-state,item_3a6bf5de63a3317b;item_67bc09c30e80c65e,,hybrid_author_adjudicated,author_custom,The October 6-8 show facts directly support the first-weekend activity; the later car project is unrelated.
locomo,conv-50_qa050,When did Calvin buy his second Ferrari?,first week of October 2023,2023/11/17 (Fri) 10:54,historical-state,fact_d36c122562d31f8d;item_3f3582cc5cb33561;item_7ed6a8002f80ee81,,hybrid_author_adjudicated,author_custom,The purchase-week fact and ownership observations jointly identify the second Ferrari purchase.
locomo,conv-50_qa052,When did Calvin plan on travelling to Tokyo the second time?,November 2023,2023/11/17 (Fri) 10:54,historical-state,item_8a14c086702caef1;item_82522e68282faf2f;fact_5dfe6a0da15b5ef3;fact_fdcadf9593e7e243,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-50_qa068,When did Dave find the car he repaired and started sharing in his blog?,last week of October 2023,2023/11/17 (Fri) 10:54,historical-state,fact_3c32458285703c70;item_a77da0752f257680;item_79aa6172b1f3e7db,,hybrid_author_adjudicated,author_custom,The find-date facts and the subsequent blog post identify the repaired/blogged car; older restorations are different cars.
longmemeval,08f4fc43,How many days had passed between the Sunday mass at St. Mary's Church and the Ash Wednesday service at the cathedral?,30 days. 31 days (including the last day) is also acceptable.,2023/02/20 (Mon) 21:26,duration,fact_044a9e0d59a788d0;fact_25a8c77e48101365,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,0bb5a684,How many days before the team meeting I was preparing for did I attend the workshop on 'Effective Communication in the Workplace'?,7 days. 8 days (including the last day) is also acceptable.,2023/01/13 (Fri) 12:09,duration,fact_36669fff8f16939a;fact_d77d5c27cfec1c61,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,0bc8ad92,How many months have passed since I last visited a museum with a friend?,5,2023/03/25 (Sat) 17:18,duration,fact_2ec86adc81112689,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,0bc8ad93,I mentioned visiting a museum two months ago. Did I visit with a friend or not?,"No, you did not visit with a friend.",2023/03/11 (Sat) 05:28,historical-state,fact_a43627f48ad5c662;fact_3b9db1d3225e5238,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,0db4c65d,"How many days had passed since I finished reading 'The Seven Husbands of Evelyn Hugo' when I attended the book reading event at the local library, where the author of 'The Silent Patient' is discussing her latest thriller novel?",18 days. 19 days (including the last day) is also acceptable.,2023/02/10 (Fri) 18:44,duration,fact_6a244a80b89b3ba3;fact_a0f85f71f2f93105,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,2a1811e2,How many days had passed between the Hindu festival of Holi and the Sunday mass at St. Mary's Church?,21 days. 22 days (including the last day) is also acceptable.,2023/03/26 (Sun) 12:05,duration,fact_ae6e2f18777898f2;fact_e5ba46f388737e8c,fact_78be28ca3efdd20e,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,2c63a862,How many days did it take for me to find a house I loved after starting to work with Rachel?,14 days. 15 days (including the last day) is also acceptable.,2022/03/02 (Wed) 10:19,duration,fact_40244b5e2b8c33d5;fact_a97d9acbb14f1543;fact_eec751a7fac77167,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,2ebe6c90,How many days did it take me to finish 'The Nightingale' by Kristin Hannah?,21 days. 22 days (including the last day) is also acceptable.,2023/05/01 (Mon) 21:05,duration,fact_1fc3aad7f3915a3f;fact_d8dc4816ba01cdea,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,2ebe6c92,Which book did I finish a week ago?,'The Nightingale' by Kristin Hannah,2023/02/07 (Tue) 09:09,historical-state,fact_087c1c39abab8bf0;fact_5fde387b7ede0f36,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,370a8ff4,How many weeks had passed since I recovered from the flu when I went on my 10th jog outdoors?,15,2023/10/15 (Sun) 17:53,duration,fact_047d801e53ad7dc3;fact_0a76684f71337d8b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,4dfccbf7,How many days had passed since I started taking ukulele lessons when I decided to take my acoustic guitar to the guitar tech for servicing?,24 days. 25 days (including the last day) is also acceptable.,2023/04/01 (Sat) 00:42,duration,fact_2b782f0113b35dd1;fact_89590795466a8c7a,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,4dfccbf8,What did I do with Rachel on the Wednesday two months ago?,I started taking ukulele lessons with Rachel.,2023/04/01 (Sat) 16:08,historical-state,fact_21f8de322312f64f,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,5e1b23de,How many months ago did I attend the photography workshop?,3,2024/02/01 (Thu) 18:06,duration,fact_d98c50b0ccc7e558,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,6e984301,How many weeks have I been taking sculpting classes when I invested in my own set of sculpting tools?,3,2023/04/01 (Sat) 18:55,duration,fact_0014f6ab24693fe4;fact_6cedbb2c9ff14dcb;fact_e83061f9dab1fc15,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,6e984302,I mentioned an investment for a competition four weeks ago? What did I buy?,I got my own set of sculpting tools.,2023/04/01 (Sat) 08:30,historical-state,fact_7616972783ed79da;fact_f39cb5775232ec0b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,71017276,How many weeks ago did I meet up with my aunt and receive the crystal chandelier?,4,2023/04/01 (Sat) 08:09,duration,fact_076c532450186d30,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,71017277,I received a piece of jewelry last Saturday from whom?,my aunt,2023/03/09 (Thu) 15:47,current-vs-old,fact_82661c6a6100d257,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,8077ef71,How many days ago did I attend a networking event?,26 days. 27 days (including the last day) is also acceptable.,2022/04/04 (Mon) 21:03,duration,fact_dc82dc7bded06c93,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,9a707b81,How many days ago did I attend a baking class at a local culinary school when I made my friend's birthday cake?,21 days. 22 days (including the last day) is also acceptable.,2022/04/15 (Fri) 18:46,duration,fact_17ca620f01a619a3;fact_d3bcd992dd59fc0b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,9a707b82,I mentioned cooking something for my friend a couple of days ago. What was it?,a chocolate cake,2022/04/12 (Tue) 22:57,historical-state,fact_fdcb454df7baf939,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,a3838d2b,How many charity events did I participate in before the 'Run for the Cure' event?,4,2023/11/29 (Wed) 03:31,ordering,fact_019c005408847b84;fact_04870fd71783d9c6;fact_066081dbd899c649;fact_5f86c6fa63ca2b05;fact_6a1d25fd432872c1;fact_bfe587d2bef77bdc;fact_c259bdb14baaf420;fact_d9a8777389f00767,,hybrid_author_adjudicated,author_accepted_independent,The selected facts cover the four distinct prior charity events and the Run for the Cure cutoff event.
longmemeval,af082822,How many weeks ago did I attend the friends and family sale at Nordstrom?,2,2022/12/01 (Thu) 21:26,duration,fact_8814979b8de92b34,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,b46e15ed,"How many months have passed since I participated in two charity events in a row, on consecutive days?",2,2023/04/18 (Tue) 03:31,duration,fact_e385a538ba7aff94;fact_eada097a033a41f8,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,b46e15ee,What charity event did I participate in a month ago?,the 'Walk for Hunger' charity event,2023/04/18 (Tue) 18:34,historical-state,fact_5d24078af6c6fa31,fact_0950851778226d49;fact_17daa4039983311f;fact_4a5a66dcb559b734;fact_67f9a257cf7306f5;fact_bca64f6730143312,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,b9cfe692,How long did I take to finish 'The Seven Husbands of Evelyn Hugo' and 'The Nightingale' combined?,5.5 weeks,2023/05/24 (Wed) 08:08,duration,fact_17248ef5570900d3;fact_574901b2f3852092;fact_7daf43a311fae38d,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,bbf86515,How many days before the 'Rack Fest' did I participate in the 'Turbocharged Tuesdays' event?,4 days.,2023/06/28 (Wed) 22:12,duration,fact_e19b9ca10e53a633;fact_e6519be5c694e21b,fact_1d9e544b913fc832;fact_a2c8b35f390c541e,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,bcbe585f,How many weeks ago did I attend a bird watching workshop at the local Audubon society?,4,2023/05/01 (Mon) 23:16,duration,fact_3a15c1cb5161e54c,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,c8090214,How many days before I bought the iPhone 13 Pro did I attend the Holiday Market?,7 days. 8 days (including the last day) is also acceptable.,2023/12/10 (Sun) 17:17,duration,fact_ef8073331a4f865b;fact_f0530a869d95759a,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,c9f37c46,How long had I been watching stand-up comedy specials regularly when I attended the open mic night at the local comedy club?,2 months,2023/05/20 (Sat) 00:44,duration,fact_2787dbf13d83478d;fact_29e6c7181f588ecf;fact_aa49955393aa81a9,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,e4e14d04,How long had I been a member of 'Book Lovers Unite' when I attended the meetup?,Two weeks,2023/05/28 (Sun) 15:46,duration,fact_345e50ab3dfcd7a0;fact_79e1ec8bc1710ae4,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,eac54adc,How many days ago did I launch my website when I signed a contract with my first client?,19 days ago. 20 days (including the last day) is also acceptable.,2023/03/25 (Sat) 19:57,duration,fact_8f3abb0346086402;fact_f0b28174433c1521,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,eac54add,What was the significant buisiness milestone I mentioned four weeks ago?,I signed a contract with my first client.,2023/03/28 (Tue) 20:35,historical-state,fact_0b27bbaec269c8f1,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly states the milestone and relative time.
longmemeval,f0853d11,How many days had passed between the 'Walk for Hunger' event and the 'Coastal Cleanup' event?,14 days. 8 days (including the last day) is also acceptable.,2023/03/14 (Tue) 21:24,duration,fact_2304a8344a588d6a;fact_e60fe0cebf9dd8e7,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_0b2f1d21,"Which event happened first, the purchase of the coffee maker or the malfunction of the stand mixer?",The malfunction of the stand mixer,2023/05/25 (Thu) 09:31,ordering,fact_61bf50e414d23651;fact_67ac88e6a6b21541,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_18c2b244,"What is the order of the three events: 'I signed up for the rewards program at ShopRite', 'I used a Buy One Get One Free coupon on Luvs diapers at Walmart', and 'I redeemed $12 cashback for a $10 Amazon gift card from Ibotta'?","First, I used a Buy One Get One Free coupon on Luvs diapers at Walmart. Then, I redeemed $12 cashback for a $10 Amazon gift card from Ibotta. Finally, I signed up for the rewards program at ShopRite.",2023/05/10 (Wed) 21:38,ordering,fact_1fbfb84ea085676b;fact_666ecfc477321cc5;fact_9c1a9c3a93e8103e,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_1916e0ea,How many days passed between the day I cancelled my FarmFresh subscription and the day I did my online grocery shopping from Instacart?,54 days. 55 days (including the last day) is also acceptable.,2023/03/18 (Sat) 00:06,duration,fact_789b2f632748a4a1;fact_84f859ec7b4fb0c2,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_1d4ab0c9,How many days passed between the day I started watering my herb garden and the day I harvested my first batch of fresh herbs?,24 days. 25 days (including the last day) is also acceptable.,2023/04/18 (Tue) 10:43,duration,fact_6ae940ee541c0610;fact_e90bef4ae29f4382,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_1d80365e,How many days did I spend on my solo camping trip to Yosemite National Park?,2 days. 3 days (including the last day) is also acceptable.,2023/06/01 (Thu) 17:17,duration,fact_a5e69a1b8a54075b;fact_e8676bb12926df4c,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_1e4a8aeb,How many days passed between the day I attended the gardening workshop and the day I planted the tomato saplings?,6 days. 7 days (including the last day) is also acceptable.,2023/05/08 (Mon) 06:05,duration,fact_5b5fe9ef94b2e248;fact_86ece7aafe2e2da6,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_1e4a8aec,What gardening-related activity did I do two weeks ago?,planting 12 new tomato saplings,2023/05/05 (Fri) 16:42,historical-state,fact_991e20e592665cd4,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_21adecb5,How many months passed between the completion of my undergraduate degree and the submission of my master's thesis?,6 months,2023/07/01 (Sat) 08:16,duration,fact_2dea8fc8a4f2ce18;fact_ce7856f8627cb400,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_2312f94c,"Which device did I got first, the Samsung Galaxy S22 or the Dell XPS 13?",Samsung Galaxy S22,2023/03/15 (Wed) 04:45,ordering,fact_21a8d0e00919a0a2;fact_93f9ed7719161e0f,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_2487a7cb,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,2023/05/24 (Wed) 08:02,ordering,fact_07df59ded65e2de5;fact_c6d84824a33f0c38,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_2655b836,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,2023/04/10 (Mon) 10:15,ordering,fact_0340ea761b441048;fact_43582525cf6a8a65;fact_480c22941cd93b91,,hybrid_author_adjudicated,author_custom,The first-service date and subsequent GPS malfunction/replacement establish the first post-service issue.
longmemeval,gpt4_2c50253f,What time do I wake up on Tuesdays and Thursdays?,6:45 AM,2023/05/27 (Sat) 19:21,current-vs-old,fact_40152d019722a048;fact_d717312366361792,fact_113a1d73374b0311,hybrid_author_adjudicated,author_accepted_independent,The 7:00 routine plus the 15-minute Tuesday/Thursday shift yields 6:45; 8:30 is the replaced prior state.
longmemeval,gpt4_2d58bcd6,"Which book did I finish reading first, 'The Hate U Give' or 'The Nightingale'?",'The Hate U Give',2023/05/30 (Tue) 22:18,ordering,fact_67104980927845c4;fact_cd4bfb1650dd2589,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_2f56ae70,Which streaming service did I start using most recently?,Disney+,2023/05/26 (Fri) 00:18,current-vs-old,fact_b3631445f4f1fcfd;fact_97cdd3337dcfbef0;fact_e6e2060f2598e0bb;fact_b89074f5ca5baacb,,hybrid_author_adjudicated,author_custom,Disney+ began in April; the Apple TV+ and six-month service facts establish that the alternatives started earlier.
longmemeval,gpt4_2f584639,"Which gift did I buy first, the necklace for my sister or the photo album for my mom?",the photo album for my mom,2023/05/30 (Tue) 07:03,ordering,fact_f05b6a030d18c096;fact_8a6e34d3949a3e7f,,hybrid_author_adjudicated,author_custom,"The photo album was ordered May 16 and the necklace was purchased later, around May 23."
longmemeval,gpt4_385a5000,"Which seeds were started first, the tomatoes or the marigolds?",Tomatoes,2023/03/10 (Fri) 15:30,ordering,fact_1188653ee66c783b;fact_639071a642eb30e1,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_45189cb4,What is the order of the sports events I watched in January?,"First, I attended a NBA game at the Staples Center, then I watched the College Football National Championship game, and finally, I watched the NFL playoffs.",2023/01/30 (Mon) 01:53,ordering,fact_08d1031fe2540e05;fact_815f574d056cd700;fact_c321ec22d6ef5d80,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_468eb063,How many days ago did I meet Emma?,9 days ago. 10 days (including the last day) is also acceptable.,2023/04/20 (Thu) 10:12,duration,fact_f8b84b11ddf47e3b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_468eb064,Who did I meet with during the lunch last Tuesday?,Emma,2023/04/18 (Tue) 16:50,historical-state,fact_6533ed807a464697,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly identifies Emma as the lunch companion.
longmemeval,gpt4_483dd43c,"Which show did I start watching first, 'The Crown' or 'Game of Thrones'?",'Game of Thrones',2023/05/29 (Mon) 08:33,ordering,fact_30e0d0d21f2700c3;fact_814805f35cccd2b2;fact_c4bf43011bc31c84,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_4929293a,"Which event happened first, my cousin's wedding or Michael's engagement party?",Michael's engagement party,2023/10/01 (Sun) 07:41,ordering,fact_1dc90fecca71cb6d;fact_535fc3d9894a9199,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_4929293b,What was the the life event of one of my relatives that I participated in a week ago?,my cousin's wedding,2023/06/22 (Thu) 18:33,historical-state,fact_4b1ccffe34108407,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_4edbafa2,What was the date on which I attended the first BBQ event in June?,June 3rd,2023/07/01 (Sat) 02:36,ordering,fact_5660f9c09a3bd87c;fact_7c2003672c1a28dd;fact_fb6c608a043a50b2;fact_fd45b8e78ef46060,,hybrid_author_adjudicated,author_accepted_proposed,All four June BBQ facts are needed to identify June 3 as the first event in temporal order.
longmemeval,gpt4_4ef30696,How many days passed between the day I finished reading 'The Nightingale' and the day I started reading 'The Hitchhiker's Guide to the Galaxy'?,1 day. 2 days (including the last day) is also acceptable.,2022/05/01 (Sun) 04:58,duration,fact_0808f0e204baf079;fact_ca6c2cd4660ad6e0,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_4fc4f797,How many days passed between the day I received feedback about my car's suspension and the day I tested my new suspension setup?,38 days. 39 days (including the last day) is also acceptable.,2023/06/01 (Thu) 21:22,duration,fact_156c5fa43d6c69bd;fact_63ef813829d1b13e,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_59149c77,How many days passed between my visit to the Museum of Modern Art (MoMA) and the 'Ancient Civilizations' exhibit at the Metropolitan Museum of Art?,7 days. 8 days (including the last day) is also acceptable.,2023/02/01 (Wed) 10:20,duration,fact_0cdd29a0729a006a;fact_72c1ec98d8fc565c,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_59149c78,I mentioned that I participated in an art-related event two weeks ago. Where was that event held at?,The Metropolitan Museum of Art.,2023/02/01 (Wed) 08:41,historical-state,fact_21f1c6da23d19155;fact_ba1bad5a449e7e87;fact_0e4fecefaf12e104;fact_17444f0fd0e881cc;fact_390f696832a0202c,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_5dcc0aab,Which pair of shoes did I clean last month?,white Adidas sneakers,2023/05/24 (Wed) 09:14,historical-state,fact_cc9092549a8ae329,,hybrid_author_adjudicated,author_custom,This fact alone directly names the shoes and states they were cleaned in April.
longmemeval,gpt4_61e13b3c,How many weeks passed between the time I sold homemade baked goods at the Farmers' Market for the last time and the time I participated in the Spring Fling Market?,3 weeks,2023/04/01 (Sat) 00:57,duration,fact_85cc4a66caf805e7;fact_db2cab044c9bcd6a,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_65aabe59,"Which device did I set up first, the smart thermostat or the mesh network system?",Smart thermostat,2023/05/25 (Thu) 11:29,ordering,fact_20f9b8a9666f288d;fact_45324ddecebda405;fact_aceaf92dab239290,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_68e94287,"Which event happened first, my participation in the #PlankChallenge or my post about vegan chili recipe?",You posted a recipe for vegan chili on Instagram using the hashtag #FoodieAdventures first.,2023/04/12 (Wed) 12:00,ordering,fact_47cf1ca61c4c7682;fact_57661c2cb8bb48e7,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_68e94288,What was the social media activity I participated 5 days ago?,You participated in a social media challenge called #PlankChallenge.,2023/03/20 (Mon) 11:50,historical-state,fact_a23632bb739d632b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_6dc9b45b,How many months ago did I attend the Seattle International Film Festival?,4 months ago,2021/10/02 (Sat) 03:56,duration,fact_67a0231b622f2577,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_6ed717ea,"Which item did I purchase first, the dog bed for Max or the training pads for Luna?",Training pads for Luna,2023/05/29 (Mon) 08:51,ordering,fact_a35e8f4da895381c;fact_aad4df1207d2d0ca;fact_fc95267df94fb1fa;fact_553411ce9323c027,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_70e84552,"Which task did I complete first, fixing the fence or trimming the goats' hooves?",Fixing the fence,2023/05/25 (Thu) 08:03,ordering,fact_644ad2dc7fe4b082;fact_fd1e86a91abbfc17,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_74aed68e,How many days passed between the day I replaced my spark plugs and the day I participated in the Turbocharged Tuesdays auto racking event?,29 days. 30 days (including the last day) is also acceptable.,2023/04/01 (Sat) 21:42,duration,fact_1e3dd1bc962439ee;fact_3a062e9f88bfb6b1,fact_71d45840f43da02c,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_76048e76,"Which vehicle did I take care of first in February, the bike or the car?",bike,2023/03/10 (Fri) 03:39,ordering,fact_21874ab5528784e2;fact_c19b76505e267bf6,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7a0daae1,How many weeks passed between the day I bought my new tennis racket and the day I received it?,1 week,2023/04/15 (Sat) 22:38,duration,fact_02dc2812e8b7265a;fact_cde692de521db5a0,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7abb270c,What is the order of the six museums I visited from earliest to latest?,"Science Museum, Museum of Contemporary Art, Metropolitan Museum of Art, Museum of History, Modern Art Museum, Natural History Museum",2023/03/10 (Fri) 08:15,ordering,fact_3a4516eda0a97362;fact_3e7a0f5d9094a4bf;fact_5525456c44a56049;fact_b0d1ad530d09504b;fact_cc210c0794c7bc91;fact_d2d8991152520fb0,fact_10f4fe0757dd1ff7;fact_6d5b34e052f666ee;fact_deb106d04b8d164d;fact_fbddeadfe64a245d,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7bc6cf22,How many days ago did I read the March 15th issue of The New Yorker?,12 days ago. 13 days (including the last day) is also acceptable.,2023/04/01 (Sat) 08:36,duration,fact_9a6659cf109fcca3,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7ca326fa,"Who graduated first, second and third among Emma, Rachel and Alex?","Emma graduated first, followed by Rachel and then Alex.",2022/08/20 (Sat) 21:47,ordering,fact_84bcccd6805cfe68;fact_5f9213a1a43ca46a;fact_7ea9df3d88a509c2,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7ddcf75f,How many days ago did I go on a whitewater rafting trip in the Oregon mountains?,3 days ago. 4 days (including the last day) is also acceptable.,2023/06/20 (Tue) 16:30,duration,fact_0c9844ad6e155c67,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_7f6b06db,"What is the order of the three trips I took in the past three months, from earliest to latest?","I went on a day hike to Muir Woods National Monument with my family, then I went on a road trip with friends to Big Sur and Monterey, and finally I started my solo camping trip to Yosemite National Park.",2023/06/01 (Thu) 03:56,ordering,fact_9fd75623cf6bfbcf;fact_a7b585d546327c3e;fact_c51308a414819423,fact_85eb1367f2bf119f,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_8279ba02,How many days ago did I buy a smoker?,10 days ago. 11 days (including the last day) is also acceptable.,2023/03/25 (Sat) 02:46,duration,fact_a01ac97dfea1aad9,,hybrid_author_adjudicated,stable_model_assisted,
