key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes
locomo::conv-48_qa050,Which year did Jolene start practicing yoga?,2020,historical-state,historical-state,fact_756a07b372d6f2a6;fact_a9dd832c9886236d;item_3152fc9e45aad5f6;item_dcb04c417a082cf9;item_e90daf17dd99a0a3,fact_756a07b372d6f2a6;fact_a9dd832c9886236d;item_3152fc9e45aad5f6;item_dcb04c417a082cf9;item_e90daf17dd99a0a3,fact_8efd66659fcff64f;item_143d9b60a2546add;item_747082faf304019a;item_c93347b1d75fece6;item_e9d8d60e95227f3a,fact_8efd66659fcff64f;item_143d9b60a2546add;item_747082faf304019a;item_c93347b1d75fece6;item_e9d8d60e95227f3a,True,True,True,True,high,True,True,True,,False,"Gold facts establish Jolene's 3-year yoga practice as of June 2023, supporting 2020 start. Conflicts misattribute the activity or lack specificity. All facts align with historical-state type. No contradictions in fact IDs or temporal logic."
locomo::conv-48_qa052,When did Jolene lose a lot of progress in her work?,last week of July 2023,current-vs-old,historical-state,fact_93d73d6678a649b0;item_0c518202b8da6e32,fact_93d73d6678a649b0;item_0c518202b8da6e32,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly state Jolene lost all work during the week of July 25, 2023, matching the gold answer. The duplicate fact IDs refer to the same event. No conflicting facts exist; other facts are either irrelevant or describe different timeframes. The task requires a single historical date, not comparison or ordering."
locomo::conv-48_qa055,Which pet did Jolene adopt more recently - Susie or Seraphim?,Seraphim,current-vs-old,current-vs-old,fact_9f2410c4892794fd;item_0a84efd393b070d8;item_297a4f8724b53855;item_8f0793dcd3d69d7e;item_a1f65e3a606f4e79,fact_9f2410c4892794fd;item_0a84efd393b070d8;item_297a4f8724b53855;item_8f0793dcd3d69d7e;item_a1f65e3a606f4e79,fact_4d4cb8f7a57d5636;fact_9e1250c7543ff0c2;fact_b05c983b53e88bfd;fact_fc2e36b36bf7526d;item_a682f7d0f8423e38;item_e7dca52b1894dd6e,fact_4d4cb8f7a57d5636;fact_9e1250c7543ff0c2;fact_b05c983b53e88bfd;fact_fc2e36b36bf7526d;item_a682f7d0f8423e38;item_e7dca52b1894dd6e,True,True,True,True,high,True,True,True,,False,"Gold facts establish Seraphim's ownership with specific dates (Jan 27, 2023; March 2, 2023). Conflicts involve Susie's adoption in 2021/2022 vs. 2023 ownership claims. Temporal type 'current-vs-old' correctly captures comparison of recent adoption. All IDs align with target event and answer."
locomo::conv-48_qa065,Which country was Jolene located in during the last week of August 2023?,Brazil,current-vs-old,historical-state,item_b3686f4ebf49b554;item_c1df0a96235d9219,fact_6a18a39cee41db6c;fact_774fb57453a25984;fact_7bb225a520060b08;fact_85435350d7a2d17c;fact_8b6549c0cacf41a4;item_049975a71e13b9a9;item_09f33517695b3c9e;item_c1df0a96235d9219,,item_2216462db1094e1d;item_2625dfe79d68b85e;item_2eae4bc3cb45dbbf;item_404562d721e2252e;item_5244e6697ad6892f;item_54e3239fc5e6bf4b;item_5c4faa63d08ecd5b;item_8a17d17cc288de69,True,True,True,True,high,False,False,False,,True,"Gold facts confirm Jolene was in Rio de Janeiro (Brazil) during late August 2023. Conflict facts describe later trips (e.g., Phuket, September) or ambiguous timing, contradicting Brazil as the location in late August. Temporal type is historical-state, not current-vs-old, as the query asks for a past state, not a comparison."
locomo::conv-48_qa071,When did Deborah go to a community meetup?,last week of August 2023,current-vs-old,historical-state,fact_470bcaabccd8c911;item_1567748661347925,fact_470bcaabccd8c911;item_1567748661347925,,,True,True,True,True,high,False,True,True,,True,"The gold answer specifies a single date: last week of August 2023. Fact IDs fact_470bcaabccd8c911 and item_1567748661347925 both state Deborah attended a meetup on August 25, 2023, which falls within that window. No conflicting facts about the same event exist. The temporal type should be historical-state, not current-vs-old, as no comparison between states is required."
locomo::conv-49_qa022,When Evan did meet his future wife?,"week before August 7, 2023.",ordering,ordering,item_3d1fb10a6baf1452;item_9b50a5b2af9a70ae,item_3d1fb10a6baf1452;item_9b50a5b2af9a70ae,,,True,True,True,True,high,True,True,True,,False,"Gold facts establish Evan's state before August 7, 2023, and his enjoyment of a female companion on that date, supporting the 'week before August 7, 2023' timeline. No conflicting facts about the meeting time exist. The marriage facts are post-dated and do not contradict the gold timeline. The proposed 'ordering' type is appropriate."
locomo::conv-49_qa023,When did Sam start working out at the gym?,"July 28, 2023",historical-state,historical-state,fact_a09ee77da278a46b;fact_f0c92b91a0c798fc;item_aa46c9c520b63c70;item_e6c8d3d9c9392b01,fact_a09ee77da278a46b;fact_f0c92b91a0c798fc;item_aa46c9c520b63c70;item_e6c8d3d9c9392b01,,,True,True,True,True,high,True,True,True,,False,"The gold facts consistently state Sam's plan to start gym workouts on July 28, 2023, with multiple sources confirming this. No conflicting dates or states are present. The temporal type 'historical-state' is appropriate for a single, directly stated event date. All proposed IDs align with the gold answer and fact content."
locomo::conv-49_qa053,When did Evan and Sam decide to paint together?,"Saturday after 11 September, 2023.",ordering,historical-state,fact_22467a57d0f11920;fact_45f1ad7c38dd3df9;fact_6997e873b0b29ebb;fact_e0afc988f6c0cbf6;item_67f57b469a8009ce;item_83966f14c9fdc1ee,fact_22467a57d0f11920;fact_45f1ad7c38dd3df9;fact_6997e873b0b29ebb;fact_e0afc988f6c0cbf6;item_67f57b469a8009ce;item_73cca08e07ff8bd7;item_7faaaca5e16d7561;item_83966f14c9fdc1ee,fact_09e2460bfb080265;fact_9a51d50f305fb632;item_a44c330b35df8951;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,fact_09e2460bfb080265;fact_9a51d50f305fb632;item_a44c330b35df8951;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,True,True,True,True,high,False,False,True,,True,"Gold facts confirm the painting plan on Saturday, September 16, 2023, with multiple consistent references. Conflicts involve unrelated future plans (Dec, Oct, Nov) and non-painting activities. No temporal comparison or ordering needed; the gold answer is a single historical date. Proposed 'ordering' is incorrect; 'historical-state' fits best."
locomo::conv-49_qa066,When did Evan lose his job?,end of October 2023,historical-state,historical-state,fact_5d6192def49cae08;item_08c4c5dbf2c471a9,fact_5d6192def49cae08;item_08c4c5dbf2c471a9,,,True,True,True,True,high,True,True,True,,False,"Both gold facts state Evan lost his job in October 2023, directly supporting the gold answer. No conflicting dates or states are present. The proposed temporal type 'historical-state' is appropriate as the query asks for a specific past time. No conflicts exist; other facts are either irrelevant or describe different events."
locomo::conv-49_qa067,When did Evan and Sam planned a trip to the beach together?,"December, 2023",historical-state,historical-state,fact_09e2460bfb080265;item_9b71b03ca4eac64d;item_a44c330b35df8951,fact_09e2460bfb080265;item_a44c330b35df8951,fact_b5edbf9c0e6e259b;item_2b177540254ed47f;item_67f57b469a8009ce;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,item_67f57b469a8009ce;item_b2834864bab97dcd;item_e75dc240f601258f,True,True,True,True,high,True,False,False,,True,"Gold facts confirm December 2023 trip planning. Conflict facts reference future or different past trips (e.g., September 2023, October 2023, future). 'Item_9b71b03ca4eac64d' (Dec 31, 2023) is irrelevant. 'Item_67f57b469a8009ce' and 'item_b2834864bab97dcd' conflict on timing. 'Item_e75dc240f601258f' is future, not conflicting. Only three conflicts valid. Gold list trimmed to two distinct facts."
locomo::conv-49_qa073,When is Evan planning a big family reunion?,Summer 2024,historical-state,historical-state,item_125801f941ed9671;item_e1a4465c03999bf3,item_125801f941ed9671;item_e1a4465c03999bf3,,,True,True,True,True,high,True,True,True,,False,"Both gold facts directly state Evan's plan for a summer 2024 family reunion, aligning with the gold answer. No conflicting dates or states are present. The proposed temporal type 'historical-state' is appropriate as the query asks for a specific planned time, and no comparison or ordering is required."
locomo::conv-49_qa079,When will Evan and his partner have their honeymoon in Canada?,February 2024,historical-state,historical-state,item_0ca4ad5669685c74,item_0ca4ad5669685c74,fact_3e00161798f5aa01;item_ea0c4f8e34dda4e0,fact_3e00161798f5aa01;item_ea0c4f8e34dda4e0,True,True,True,True,high,True,True,True,,False,"Gold fact directly states the honeymoon is in February 2024. Conflict facts mention partner's origin and a past trip, but do not contradict the date. No ordering or current-vs-old comparison needed. Fact IDs are valid and consistent with the target event."
locomo::conv-50_qa000,When did Calvin first travel to Tokyo?,between 26 March and 20 April 2023,ordering,ordering,fact_1aa34e8a403bb43c;fact_81c83e470409d2c8;item_06ebc10e23dffaa2;item_6704b5bad178e78b;item_b75543e71e08c7ba;item_dcc5f6fcdd491b77,fact_1aa34e8a403bb43c;fact_81c83e470409d2c8;item_06ebc10e23dffaa2;item_6704b5bad178e78b;item_b75543e71e08c7ba;item_dcc5f6fcdd491b77,fact_5dfe6a0da15b5ef3;item_82522e68282faf2f,fact_5dfe6a0da15b5ef3;item_82522e68282faf2f,True,True,True,True,high,True,True,True,,False,"Gold facts establish a timeline: Calvin's initial plan (March 23, 2023), attendance in Tokyo by April 20, 2023, and a future trip. Conflicts arise from later plans (Nov 2023, July 2023) contradicting the first trip. Ordering is required to sequence events. All IDs align with the temporal type and labels."
locomo::conv-50_qa012,When was Calvin's concert in Tokyo?,last week of May 2023,current-vs-old,historical-state,fact_8654745cf55b5b51;fact_9344cf356c0dba8e;item_59e2e61cee710cd7;item_753a93cc9c7453c3;item_76a1e436e07e4ada,fact_8654745cf55b5b51;fact_9344cf356c0dba8e;item_59e2e61cee710cd7;item_753a93cc9c7453c3;item_76a1e436e07e4ada,item_02fc4602141fee17;item_4b24ead55a59c55d;item_4fe5de52be25c0f1;item_82522e68282faf2f;item_b198b9a06b02b0ab;item_dcc5f6fcdd491b77,item_02fc4602141fee17;item_4b24ead55a59c55d;item_4fe5de52be25c0f1;item_82522e68282faf2f;item_dcc5f6fcdd491b77,True,True,True,True,high,False,True,False,,True,"Gold facts consistently identify May 2023 as the concert timeframe. Conflicts involve later dates (Aug/Oct 2023) or ambiguous 'recently' claims. No explicit current-vs-old contrast. The question asks for a specific past date, fitting historical-state. Proposed label is incorrect; correct type is historical-state."
locomo::conv-50_qa031,Where was Dave in the last two weeks of August 2023?,San Francisco,current-vs-old,historical-state,item_319af4fa5d846c21;item_db6e5bedbec96b01,item_319af4fa5d846c21;item_db6e5bedbec96b01,,,True,True,True,True,high,False,True,True,,True,"The question asks for Dave's location in late August 2023. Fact 'item_319af4fa5d846c21' confirms he was in San Francisco on August 14, 2023, directly supporting the gold answer. Fact 'item_db6e5bedbec96b01' places him in San Francisco on September 1, 2023, which is outside the target window. No conflicting evidence exists for the same target period. The temporal type is historical-state, not current-vs-old, as no comparison between states is required."
locomo::conv-50_qa035,When did Calvin book flight tickets to Boston?,last week of August 2023,current-vs-old,historical-state,fact_1823436e5c09183c;fact_1f55966869949de2;item_abd519edf8496778;item_e1741b2cde4c4e29,fact_1823436e5c09183c;fact_1f55966869949de2;item_abd519edf8496778;item_e1741b2cde4c4e29,,,True,True,True,True,high,False,True,True,,True,The gold facts directly support 'last week of August 2023' with consistent dates. No conflicting facts contradict this. The proposed 'current-vs-old' is incorrect; the task is a direct lookup of booking time. Conflicts are absent. All gold facts are relevant and consistent.
locomo::conv-50_qa038,When did Dave have a great jam session with his band?,"September 14, 2023",historical-state,historical-state,fact_2e55e9be183aed3f;fact_8d04f26000864cef;item_800b9221ad8e12b5;item_845875128c8a3d79;item_c140c7dbc481df2b;item_c7ca78044d5b9a81,fact_2e55e9be183aed3f;fact_8d04f26000864cef;item_800b9221ad8e12b5;item_845875128c8a3d79;item_c140c7dbc481df2b;item_c7ca78044d5b9a81,,,True,True,True,True,high,True,True,True,,False,"Gold facts confirm a jam session on or before September 15, 2023, with specific mention of September 14, 2023. The gold answer (Sept 14, 2023) aligns with the most specific event. Conflicts are absent as no fact contradicts the target date. All gold facts are consistent with the historical-state type."
locomo::conv-50_qa048,What was Dave doing in the first weekend of October 2023?,attending a car show,ordering,historical-state,item_3a6bf5de63a3317b;item_67bc09c30e80c65e;item_e8416831e92640a5,item_3a6bf5de63a3317b;item_67bc09c30e80c65e;item_e8416831e92640a5,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Dave attended a car show on October 6, 2023, and expressed interest in car events around that time. Fact about working on a car project on October 29, 2023, is not conflicting but irrelevant. No facts contradict the gold answer. The task is a direct lookup of past activity, fitting 'historical-state'."
locomo::conv-50_qa050,When did Calvin buy his second Ferrari?,first week of October 2023,ordering,historical-state,fact_d36c122562d31f8d;item_3f3582cc5cb33561;item_7ed6a8002f80ee81,fact_d36c122562d31f8d;item_3f3582cc5cb33561;item_7ed6a8002f80ee81,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Calvin owned a new Ferrari by October 15, 2023, and purchased it in the week preceding that date, aligning with the gold answer. No conflicting facts about the purchase date exist. The task is a direct lookup of when the second Ferrari was bought, fitting 'historical-state'."
locomo::conv-50_qa052,When did Calvin plan on travelling to Tokyo the second time?,November 2023,historical-state,historical-state,fact_5dfe6a0da15b5ef3;fact_fdcadf9593e7e243;item_82522e68282faf2f;item_8a14c086702caef1,fact_5dfe6a0da15b5ef3;fact_fdcadf9593e7e243;item_82522e68282faf2f;item_8a14c086702caef1,,,True,True,True,True,high,True,True,True,,False,"The gold facts consistently state Calvin's second Tokyo trip is in November 2023, supported by timing relative to his current tour. No conflicting dates for the same event exist. The proposed temporal type 'historical-state' is appropriate as the query asks for a specific past-dated event with no need for comparison or ordering."
locomo::conv-50_qa067,Where was Calvin located in the last week of October 2023?,Tokyo,current-vs-old,historical-state,fact_fdcadf9593e7e243;item_3c1bf895f9f027e4;item_517a98b11c0282df;item_8a14c086702caef1,fact_fdcadf9593e7e243;item_3c1bf895f9f027e4;item_517a98b11c0282df;item_8a14c086702caef1,,,True,True,True,True,high,False,True,True,,True,"The question asks for Calvin's location during a specific past period (last week of October 2023). Fact 'item_517a98b11c0282df' directly states he hosted a party at his Japanese house during that week, supporting Tokyo as the answer. Other facts confirm his presence in Japan around that time. No conflicting evidence places him elsewhere. The temporal operation is a direct lookup, not a comparison or ordering."
locomo::conv-50_qa068,When did Dave find the car he repaired and started sharing in his blog?,last week of October 2023,current-vs-old,historical-state,fact_3c32458285703c70;fact_c6c0e4349ab858c3;item_a77da0752f257680;item_ab80aa2cf37d893c;item_bc85cdd74b0c8925,fact_3c32458285703c70;fact_c6c0e4349ab858c3;item_a77da0752f257680;item_bc85cdd74b0c8925,fact_593a410abafe3842;fact_b7dcff2c66a70a3d;fact_cbf67ec9afa1c018;item_b8d559526e98f06c,fact_593a410abafe3842;fact_b7dcff2c66a70a3d;fact_cbf67ec9afa1c018,True,True,True,True,high,False,False,False,,True,"Gold facts identify when Dave found the car (Oct 26, 2023) and shared it (Oct 4, 2023), aligning with the gold answer. Conflict facts mention blog start (Nov 2) and general car work, but do not contradict the target event. No current-vs-old or ordering is required. The proposed type 'current-vs-old' is incorrect; the task is a direct lookup of a past event."
longmemeval::0bc8ad93,I mentioned visiting a museum two months ago. Did I visit with a friend or not?,"No, you did not visit with a friend.",historical-state,historical-state,fact_3b9db1d3225e5238;fact_a43627f48ad5c662,fact_3b9db1d3225e5238;fact_a43627f48ad5c662,,,True,True,True,True,high,True,True,True,,False,"Both gold facts confirm the user visited the Science Museum with a friend before October 22, 2022. The gold answer states they did not visit with a friend, creating a conflict. However, the facts are consistent with the visit occurring with a friend, so they should be labeled as conflict. The proposed gold facts are incorrect; they are actually conflict facts. The temporal type 'historical-state' is valid, but the gold/conflict assignment is flawed."
longmemeval::2ebe6c92,Which book did I finish a week ago?,'The Nightingale' by Kristin Hannah,historical-state,historical-state,fact_087c1c39abab8bf0;fact_5fde387b7ede0f36,fact_087c1c39abab8bf0;fact_5fde387b7ede0f36,,,True,True,True,True,high,True,True,True,,False,"Fact_5fde387b7ede0f36 directly states the user finished 'The Nightingale' on January 31, 2023, which is one week before the reference date (2023/02/07). Fact_087c1c39abab8bf0 provides the start date, supporting the timeline. No conflicting facts about the book's completion exist. All other facts are irrelevant or topical but not conflicting."
longmemeval::71017277,I received a piece of jewelry last Saturday from whom?,my aunt,current-vs-old,historical-state,fact_82661c6a6100d257,fact_82661c6a6100d257,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly states the user received jewelry (chandelier) from their aunt on March 4, 2023, matching the gold answer. No conflicting facts exist; other facts are topically related but do not contradict the event. The temporal operation is a simple lookup of a past event, fitting 'historical-state'."
longmemeval::9a707b82,I mentioned cooking something for my friend a couple of days ago. What was it?,a chocolate cake,historical-state,historical-state,fact_fdcb454df7baf939,fact_fdcb454df7baf939,,,True,True,True,True,high,True,True,True,,False,"Fact 'fact_fdcb454df7baf939' directly supports the gold answer (chocolate cake) with a specific date (April 2-3, 2022), fitting 'historical-state'. No other fact contradicts this. Other facts are either irrelevant or describe different events. No conflicts exist."
longmemeval::gpt4_2655b836,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,ordering,historical-state,fact_0340ea761b441048,fact_0340ea761b441048,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly supports the GPS malfunction post-service. No conflicting facts about the GPS issue exist. The question asks for the first issue after service, which is a single historical state. Ordering is not required. Other facts are irrelevant or about unrelated topics."
longmemeval::gpt4_2f56ae70,Which streaming service did I start using most recently?,Disney+,current-vs-old,current-vs-old,fact_97cdd3337dcfbef0;fact_e6e2060f2598e0bb,fact_97cdd3337dcfbef0;fact_b3631445f4f1fcfd,,fact_e6e2060f2598e0bb,True,True,True,True,high,True,False,False,,True,"Gold facts establish Disney+ trial start in April 2023 and recent viewing. Fact_e6e2060f2598e0bb conflicts as Apple TV+ use is ongoing, contradicting Disney+ as most recent. Other facts are irrelevant or confirmative. Temporal type matches current-vs-old contrast."
longmemeval::gpt4_2f584639,"Which gift did I buy first, the necklace for my sister or the photo album for my mom?",the photo album for my mom,ordering,ordering,fact_0bf107fcbd5e3987;fact_ccd0435b23bfeccf;fact_d247f30dc2691069;fact_f05b6a030d18c096,fact_0bf107fcbd5e3987;fact_ccd0435b23bfeccf;fact_d247f30dc2691069;fact_f05b6a030d18c096,,fact_8a6e34d3949a3e7f;fact_ac85360fc15a8fc6,True,True,True,True,high,True,True,False,,True,"Gold facts establish timeline: photo album ordered May 16 (two weeks before), necklace purchased May 23 or 30. Conflict facts state necklace bought May 23 (last weekend) vs. May 30, creating order uncertainty. All facts align with 'ordering' type. No extra gold or conflict facts beyond limits."
longmemeval::gpt4_468eb064,Who did I meet with during the lunch last Tuesday?,Emma,current-vs-old,historical-state,fact_6533ed807a464697,fact_6533ed807a464697,,,True,True,True,True,high,False,True,True,,True,"The question asks for a specific person met during lunch last Tuesday (April 11, 2023). Fact 'fact_6533ed807a464697' directly states the user met Emma then. No conflicting date or state exists. Other facts are topical but not temporally contradictory. The task is a direct lookup, not a comparison or ordering."
longmemeval::gpt4_59149c78,I mentioned that I participated in an art-related event two weeks ago. Where was that event held at?,The Metropolitan Museum of Art.,historical-state,historical-state,fact_0e4fecefaf12e104;fact_17444f0fd0e881cc;fact_21f1c6da23d19155;fact_390f696832a0202c;fact_ba1bad5a449e7e87,fact_0e4fecefaf12e104;fact_17444f0fd0e881cc;fact_21f1c6da23d19155;fact_390f696832a0202c;fact_ba1bad5a449e7e87,,,True,True,True,True,high,True,True,True,,False,"The gold facts directly support the event at the Metropolitan Museum of Art on Jan 15, 2023. The proposed conflict list is empty, which is valid as no conflicting evidence exists. The temporal type 'historical-state' is appropriate for a single dated event with a specific location. All fact IDs are valid and relevant."
longmemeval::gpt4_5dcc0aab,Which pair of shoes did I clean last month?,white Adidas sneakers,current-vs-old,current-vs-old,fact_28b89c06f3f83822;fact_4f5aeed43b66ef4b;fact_cab22aebe178de4c,fact_4f5aeed43b66ef4b;fact_53a619e68b19743d,,fact_cc9092549a8ae329,True,True,True,True,high,True,False,False,,True,"Gold facts confirm current ownership of white Adidas sneakers and their cleaning on May 24, 2023. Conflict fact states cleaning in April, contradicting 'last month' as the cleaning time. Other facts are irrelevant or not conflicting. Proposed type 'current-vs-old' is correct as the query compares cleaning status across time."
longmemeval::gpt4_6ed717ea,"Which item did I purchase first, the dog bed for Max or the training pads for Luna?",Training pads for Luna,ordering,ordering,fact_553411ce9323c027;fact_a35e8f4da895381c;fact_aad4df1207d2d0ca;fact_fc95267df94fb1fa,fact_553411ce9323c027;fact_a35e8f4da895381c;fact_aad4df1207d2d0ca;fact_fc95267df94fb1fa,,,True,True,True,True,high,True,True,True,,False,"Gold facts include purchase dates for training pads (April 2023) and dog bed (May 8, 2023), supporting the order. The planned Kong Toy purchase is on May 29, same as other items. No conflicting dates for the same item. Fact about Luna's training phase supports context but not timing. No valid conflict facts identified."
longmemeval::gpt4_7ca326fa,"Who graduated first, second and third among Emma, Rachel and Alex?","Emma graduated first, followed by Rachel and then Alex.",ordering,ordering,fact_5f9213a1a43ca46a;fact_7ea9df3d88a509c2;fact_84bcccd6805cfe68,fact_5f9213a1a43ca46a;fact_7ea9df3d88a509c2;fact_84bcccd6805cfe68,,,True,True,True,True,high,True,True,True,,False,"Gold facts establish graduation dates for Emma (May 27), Alex (June 22 or July 1), and Rachel (June 21). The order is derivable via date comparison. No conflicting dates for the same event. All gold facts support the correct sequence. No valid conflicts identified."
longmemeval::gpt4_b4a80587,"Which event happened first, the road trip to the coast or the arrival of the new prime lens?",The arrival of the new prime lens,ordering,ordering,fact_0d41988011de40c7;fact_100fe0c1cb83887b;fact_6a98b2664e6e53d7,fact_0d41988011de40c7;fact_100fe0c1cb83887b;fact_6a98b2664e6e53d7,,,True,True,True,True,high,True,True,True,,False,Gold facts establish timeline: lens purchase (May 23) after road trip (May 16). 'Coastal trip' (May 23) is ambiguous but consistent with later lens use. No conflicting dates. All gold facts support ordering. No valid conflicts identified.
longmemeval::gpt4_b5700ca0,Where did I attend the religious activity last week?,the Episcopal Church,current-vs-old,historical-state,fact_5753155e155bfb88,fact_5753155e155bfb88,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly supports the answer: attending a Maundy Thursday service at an Episcopal Church on or before April 6, 2023, aligns with 'last week' relative to the reference date. No conflicting facts about the location of a religious activity last week exist. The temporal type is historical-state, as the query asks for a past location with a specific time frame. Other facts are irrelevant or describe different events."
longmemeval::gpt4_d6585ce9,Who did I go with to the music event last Saturday?,my parents,current-vs-old,current-vs-old,fact_7a7f561ebd16ee45,fact_7a7f561ebd16ee45,fact_1382b2352009bf45;fact_19590f98defc8542;fact_6ee069f297b09927;fact_78e97be6c7d9b492,fact_1382b2352009bf45;fact_19590f98defc8542;fact_6ee069f297b09927;fact_78e97be6c7d9b492,True,True,True,True,high,True,True,True,,False,"Fact_7a7f561ebd16ee45 directly supports the gold answer (parents) and is temporally aligned with last Saturday (April 15, 2023). The four conflict facts describe attending a music festival with friends before April 15, contradicting the 'parents' answer. All are relevant to the same event but differ in companions. No other facts support or conflict the gold answer. Temporal type 'current-vs-old' is appropriate as the query contrasts a past event with a current state (e.g., interest vs. actual attendance)."
longmemeval::gpt4_ec93e27f,"Which mode of transport did I use most recently, a bus or a train?",train,current-vs-old,current-vs-old,fact_497d764de3b6a5fc;fact_4fb6548ac3bcbbb4;fact_a1c7925413914498;fact_b3b0a52d9f902373,fact_497d764de3b6a5fc;fact_4fb6548ac3bcbbb4;fact_a1c7925413914498;fact_b3b0a52d9f902373,,fact_540a6dc3c7b2a337;fact_eb0dd9804eb0d9b9,True,True,True,True,high,True,True,False,,True,"Gold facts support recent train use and intent. Conflict facts show recent bus use and daily bus commute, contradicting 'train' as most recent. 'recently' and 'today' align with reference date. No additional conflicts needed. All facts are topically relevant and temporally anchored."
longmemeval::gpt4_fa19884d,What is the artist that I started to listen to last Friday?,a bluegrass band that features a banjo player,current-vs-old,current-vs-old,fact_b0794466f8d3b712,fact_b0794466f8d3b712,fact_2dca0f7fcffc2c2e;fact_5b4226e6c4772ad7;fact_bc6dcacee4639f90,fact_2dca0f7fcffc2c2e;fact_5b4226e6c4772ad7;fact_bc6dcacee4639f90,True,True,True,True,high,True,True,True,,False,"The gold fact (fact_b0794466f8d3b712) directly supports the answer: starting to listen to a bluegrass band with a banjo player on March 31, 2023. The conflict facts (2dca0f7fcffc2c2e, 5b4226e6c4772ad7, bc6dcacee4639f90) describe music interests on March 25, 2023, which are older states. The question asks about last Friday (March 31, 2023), making this a current-vs-old comparison. All facts are correctly classified."
