key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes,changed_fact_texts,author_temporal_type,author_gold_fact_ids,author_conflict_fact_ids,author_notes
locomo::conv-49_qa067,When did Evan and Sam planned a trip to the beach together?,"December, 2023",historical-state,historical-state,fact_09e2460bfb080265;item_9b71b03ca4eac64d;item_a44c330b35df8951,fact_09e2460bfb080265;item_a44c330b35df8951,fact_b5edbf9c0e6e259b;item_2b177540254ed47f;item_67f57b469a8009ce;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,item_67f57b469a8009ce;item_b2834864bab97dcd;item_e75dc240f601258f,True,True,True,True,high,True,False,False,,True,"Gold facts confirm December 2023 trip planning. Conflict facts reference future or different past trips (e.g., September 2023, October 2023, future). 'Item_9b71b03ca4eac64d' (Dec 31, 2023) is irrelevant. 'Item_67f57b469a8009ce' and 'item_b2834864bab97dcd' conflict on timing. 'Item_e75dc240f601258f' is future, not conflicting. Only three conflicts valid. Gold list trimmed to two distinct facts.","fact_b5edbf9c0e6e259b: Evan and Sam planned to go on a kayaking trip together in the future. || item_2b177540254ed47f: Sam plans to go for beach walks based on Evan's suggestion on January 10, 2024. || item_9b71b03ca4eac64d: Evan offered to send cookie recipes to Sam on December 31, 2023. || item_ab28b0ac3e4d3745: Evan suggested that Sam and Evan should go hiking together sometime.",,,,
locomo::conv-50_qa012,When was Calvin's concert in Tokyo?,last week of May 2023,current-vs-old,historical-state,fact_8654745cf55b5b51;fact_9344cf356c0dba8e;item_59e2e61cee710cd7;item_753a93cc9c7453c3;item_76a1e436e07e4ada,fact_8654745cf55b5b51;fact_9344cf356c0dba8e;item_59e2e61cee710cd7;item_753a93cc9c7453c3;item_76a1e436e07e4ada,item_02fc4602141fee17;item_4b24ead55a59c55d;item_4fe5de52be25c0f1;item_82522e68282faf2f;item_b198b9a06b02b0ab;item_dcc5f6fcdd491b77,item_02fc4602141fee17;item_4b24ead55a59c55d;item_4fe5de52be25c0f1;item_82522e68282faf2f;item_dcc5f6fcdd491b77,True,True,True,True,high,False,True,False,,True,"Gold facts consistently identify May 2023 as the concert timeframe. Conflicts involve later dates (Aug/Oct 2023) or ambiguous 'recently' claims. No explicit current-vs-old contrast. The question asks for a specific past date, fitting historical-state. Proposed label is incorrect; correct type is historical-state.",item_b198b9a06b02b0ab: Calvin is scheduled to perform in Boston in late 2023.,,,,
locomo::conv-50_qa031,Where was Dave in the last two weeks of August 2023?,San Francisco,current-vs-old,historical-state,item_319af4fa5d846c21;item_db6e5bedbec96b01,item_319af4fa5d846c21;item_db6e5bedbec96b01,,,True,True,True,True,high,False,True,True,,True,"The question asks for Dave's location in late August 2023. Fact 'item_319af4fa5d846c21' confirms he was in San Francisco on August 14, 2023, directly supporting the gold answer. Fact 'item_db6e5bedbec96b01' places him in San Francisco on September 1, 2023, which is outside the target window. No conflicting evidence exists for the same target period. The temporal type is historical-state, not current-vs-old, as no comparison between states is required.",,,,,
locomo::conv-50_qa035,When did Calvin book flight tickets to Boston?,last week of August 2023,current-vs-old,historical-state,fact_1823436e5c09183c;fact_1f55966869949de2;item_abd519edf8496778;item_e1741b2cde4c4e29,fact_1823436e5c09183c;fact_1f55966869949de2;item_abd519edf8496778;item_e1741b2cde4c4e29,,,True,True,True,True,high,False,True,True,,True,The gold facts directly support 'last week of August 2023' with consistent dates. No conflicting facts contradict this. The proposed 'current-vs-old' is incorrect; the task is a direct lookup of booking time. Conflicts are absent. All gold facts are relevant and consistent.,,,,,
locomo::conv-50_qa048,What was Dave doing in the first weekend of October 2023?,attending a car show,ordering,historical-state,item_3a6bf5de63a3317b;item_67bc09c30e80c65e;item_e8416831e92640a5,item_3a6bf5de63a3317b;item_67bc09c30e80c65e;item_e8416831e92640a5,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Dave attended a car show on October 6, 2023, and expressed interest in car events around that time. Fact about working on a car project on October 29, 2023, is not conflicting but irrelevant. No facts contradict the gold answer. The task is a direct lookup of past activity, fitting 'historical-state'.",,,,,
locomo::conv-50_qa050,When did Calvin buy his second Ferrari?,first week of October 2023,ordering,historical-state,fact_d36c122562d31f8d;item_3f3582cc5cb33561;item_7ed6a8002f80ee81,fact_d36c122562d31f8d;item_3f3582cc5cb33561;item_7ed6a8002f80ee81,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Calvin owned a new Ferrari by October 15, 2023, and purchased it in the week preceding that date, aligning with the gold answer. No conflicting facts about the purchase date exist. The task is a direct lookup of when the second Ferrari was bought, fitting 'historical-state'.",,,,,
locomo::conv-50_qa067,Where was Calvin located in the last week of October 2023?,Tokyo,current-vs-old,historical-state,fact_fdcadf9593e7e243;item_3c1bf895f9f027e4;item_517a98b11c0282df;item_8a14c086702caef1,fact_fdcadf9593e7e243;item_3c1bf895f9f027e4;item_517a98b11c0282df;item_8a14c086702caef1,,,True,True,True,True,high,False,True,True,,True,"The question asks for Calvin's location during a specific past period (last week of October 2023). Fact 'item_517a98b11c0282df' directly states he hosted a party at his Japanese house during that week, supporting Tokyo as the answer. Other facts confirm his presence in Japan around that time. No conflicting evidence places him elsewhere. The temporal operation is a direct lookup, not a comparison or ordering.",,,,,
locomo::conv-50_qa068,When did Dave find the car he repaired and started sharing in his blog?,last week of October 2023,current-vs-old,historical-state,fact_3c32458285703c70;fact_c6c0e4349ab858c3;item_a77da0752f257680;item_ab80aa2cf37d893c;item_bc85cdd74b0c8925,fact_3c32458285703c70;fact_c6c0e4349ab858c3;item_a77da0752f257680;item_bc85cdd74b0c8925,fact_593a410abafe3842;fact_b7dcff2c66a70a3d;fact_cbf67ec9afa1c018;item_b8d559526e98f06c,fact_593a410abafe3842;fact_b7dcff2c66a70a3d;fact_cbf67ec9afa1c018,True,True,True,True,high,False,False,False,,True,"Gold facts identify when Dave found the car (Oct 26, 2023) and shared it (Oct 4, 2023), aligning with the gold answer. Conflict facts mention blog start (Nov 2) and general car work, but do not contradict the target event. No current-vs-old or ordering is required. The proposed type 'current-vs-old' is incorrect; the task is a direct lookup of a past event.",item_ab80aa2cf37d893c: Dave began his interest in car engineering by repairing an old car in a neighbor's garage. || item_b8d559526e98f06c: Dave has been working on cars consistently since he first repaired the neighbor's car.,,,,
longmemeval::71017277,I received a piece of jewelry last Saturday from whom?,my aunt,current-vs-old,historical-state,fact_82661c6a6100d257,fact_82661c6a6100d257,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly states the user received jewelry (chandelier) from their aunt on March 4, 2023, matching the gold answer. No conflicting facts exist; other facts are topically related but do not contradict the event. The temporal operation is a simple lookup of a past event, fitting 'historical-state'.",,,,,
longmemeval::gpt4_2655b836,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,ordering,historical-state,fact_0340ea761b441048,fact_0340ea761b441048,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly supports the GPS malfunction post-service. No conflicting facts about the GPS issue exist. The question asks for the first issue after service, which is a single historical state. Ordering is not required. Other facts are irrelevant or about unrelated topics.",,,,,
longmemeval::gpt4_2f56ae70,Which streaming service did I start using most recently?,Disney+,current-vs-old,current-vs-old,fact_97cdd3337dcfbef0;fact_e6e2060f2598e0bb,fact_97cdd3337dcfbef0;fact_b3631445f4f1fcfd,,fact_e6e2060f2598e0bb,True,True,True,True,high,True,False,False,,True,"Gold facts establish Disney+ trial start in April 2023 and recent viewing. Fact_e6e2060f2598e0bb conflicts as Apple TV+ use is ongoing, contradicting Disney+ as most recent. Other facts are irrelevant or confirmative. Temporal type matches current-vs-old contrast.","fact_b3631445f4f1fcfd: The user started a free trial of Disney+ in April 2023. || fact_e6e2060f2598e0bb: The user has been using the Apple TV+ streaming service for a few months as of May 26, 2023.",,,,
longmemeval::gpt4_2f584639,"Which gift did I buy first, the necklace for my sister or the photo album for my mom?",the photo album for my mom,ordering,ordering,fact_0bf107fcbd5e3987;fact_ccd0435b23bfeccf;fact_d247f30dc2691069;fact_f05b6a030d18c096,fact_0bf107fcbd5e3987;fact_ccd0435b23bfeccf;fact_d247f30dc2691069;fact_f05b6a030d18c096,,fact_8a6e34d3949a3e7f;fact_ac85360fc15a8fc6,True,True,True,True,high,True,True,False,,True,"Gold facts establish timeline: photo album ordered May 16 (two weeks before), necklace purchased May 23 or 30. Conflict facts state necklace bought May 23 (last weekend) vs. May 30, creating order uncertainty. All facts align with 'ordering' type. No extra gold or conflict facts beyond limits.","fact_8a6e34d3949a3e7f: The user purchased a necklace from Tiffany's for their sister last weekend (approximately May 23, 2023) for around $200. || fact_ac85360fc15a8fc6: The user purchased a necklace for their sister from Tiffany's on May 30, 2023.",,,,
longmemeval::gpt4_468eb064,Who did I meet with during the lunch last Tuesday?,Emma,current-vs-old,historical-state,fact_6533ed807a464697,fact_6533ed807a464697,,,True,True,True,True,high,False,True,True,,True,"The question asks for a specific person met during lunch last Tuesday (April 11, 2023). Fact 'fact_6533ed807a464697' directly states the user met Emma then. No conflicting date or state exists. Other facts are topical but not temporally contradictory. The task is a direct lookup, not a comparison or ordering.",,,,,
longmemeval::gpt4_5dcc0aab,Which pair of shoes did I clean last month?,white Adidas sneakers,current-vs-old,current-vs-old,fact_28b89c06f3f83822;fact_4f5aeed43b66ef4b;fact_cab22aebe178de4c,fact_4f5aeed43b66ef4b;fact_53a619e68b19743d,,fact_cc9092549a8ae329,True,True,True,True,high,True,False,False,,True,"Gold facts confirm current ownership of white Adidas sneakers and their cleaning on May 24, 2023. Conflict fact states cleaning in April, contradicting 'last month' as the cleaning time. Other facts are irrelevant or not conflicting. Proposed type 'current-vs-old' is correct as the query compares cleaning status across time.","fact_28b89c06f3f83822: The user purchased a pair of black and white Vans Old Skool sneakers on a whim during the weekend of May 13-14, 2023. || fact_53a619e68b19743d: On May 24, 2023, the user cleaned their Adidas sneakers using a mixture of soap and water. || fact_cab22aebe178de4c: The user purchased a pair of black and white Vans Old Skool sneakers on the weekend of May 20, 2023. || fact_cc9092549a8ae329: The user cleaned their white Adidas sneakers in April 2023.",,,,
longmemeval::gpt4_b5700ca0,Where did I attend the religious activity last week?,the Episcopal Church,current-vs-old,historical-state,fact_5753155e155bfb88,fact_5753155e155bfb88,,,True,True,True,True,high,False,True,True,,True,"The gold fact directly supports the answer: attending a Maundy Thursday service at an Episcopal Church on or before April 6, 2023, aligns with 'last week' relative to the reference date. No conflicting facts about the location of a religious activity last week exist. The temporal type is historical-state, as the query asks for a past location with a specific time frame. Other facts are irrelevant or describe different events.",,,,,
longmemeval::gpt4_ec93e27f,"Which mode of transport did I use most recently, a bus or a train?",train,current-vs-old,current-vs-old,fact_497d764de3b6a5fc;fact_4fb6548ac3bcbbb4;fact_a1c7925413914498;fact_b3b0a52d9f902373,fact_497d764de3b6a5fc;fact_4fb6548ac3bcbbb4;fact_a1c7925413914498;fact_b3b0a52d9f902373,,fact_540a6dc3c7b2a337;fact_eb0dd9804eb0d9b9,True,True,True,True,high,True,True,False,,True,"Gold facts support recent train use and intent. Conflict facts show recent bus use and daily bus commute, contradicting 'train' as most recent. 'recently' and 'today' align with reference date. No additional conflicts needed. All facts are topically relevant and temporally anchored.",fact_540a6dc3c7b2a337: The user takes the bus to work as part of their daily commute. || fact_eb0dd9804eb0d9b9: The user has been taking buses for shorter distances recently as an eco-friendly transportation choice.,,,,
